latitude,longitude,name
45.598969,-121.178940,The Dalles - Oregon
33.194790,-80.010353,Berkeley County, South Carolina
41.258961,-95.854362,Council Bluffs - Iowa
39.059010,-88.544850,Douglas County - Georgia
34.680090,-86.077760,Jackson County - Alabama
35.905392,-81.534737,Lenoir - North Carolina
36.452290,-95.378070,Mayes County - Oklahoma
36.318310,-87.364820,Montgomery County - Tennessee
-33.359741,-70.726501,Quilicura - Chile
24.075550,120.545067,Changhua County - Taiwan
1.352083,103.819839,Singapore
53.349804,-6.260310,Dublin - Ireland
53.442108,6.825710,Eemshaven - Netherlands
60.569199,27.193800,Hamina - Finland
50.447849,3.820250,St. Ghislain - Belgium


